StudentName,FatherName,RollNo,Session,Subjects,CruntYear
Akbar,Shahahzada,201,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
Akram,Ahmad,202,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
Hamza,Arslan,203,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
Bilal,Azadar,204,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
Behzad,Nawaz,205,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
Nawaz,Ali,206,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
Ali,Javad,207,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
Aqib,Tariq,208,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
Ashraf,Rafiq,209,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
Mukhrat,Irfan,210,23-25,"Eng,Urdu,Math,Phy,Com,Is",1
